注音,標準華語拼音,漢語拼音,Wade-Glides
ㄍㄡ,gou,gou,kou
ㄍㄢ,gan,gan,kan
ㄍㄣ,gen,gen,kên
ㄍㄤ,gang,gang,kang
ㄍㄥ,geng,geng,kêng
ㄍㄨ,gu,gu,ku
ㄍㄨㄚ,gua,gua,kua
ㄍㄨㄛ,guo,guo,kuo
ㄍㄨㄞ,guai,guai,kuai
ㄍㄨㄟ,gui,gui,kuei
ㄍㄨㄢ,guan,guan,kuan
ㄍㄨㄣ,gun,gun,kun
ㄍㄨㄤ,guang,guang,kuang
ㄍㄨㄥ,gong,gong,kung
ㄎㄚ,ka,ka,k'a
ㄎㄜ,ke,ke,k'o
ㄎㄞ,kai,kai,k'ai
ㄎㄠ,kao,kao,k'ao
ㄎㄡ,kou,kou,k'ou
ㄎㄢ,kan,kan,k'an
ㄎㄣ,ken,ken,k'ên
ㄎㄤ,kang,kang,k'ang
ㄎㄥ,keng,keng,k'êng
ㄎㄨ,ku,ku,k'u
ㄎㄨㄚ,kua,kua,k'ua
ㄎㄨㄛ,kuo,kuo,k'uo
ㄎㄨㄞ,kuai,kuai,k'uai
ㄎㄨㄟ,kui,kui,k'uei
ㄎㄨㄢ,kuan,kuan,k'uan
ㄎㄨㄣ,kun,kun,k'un
ㄎㄨㄤ,kuang,kuang,k'uang
ㄎㄨㄥ,kong,kong,k'ung
ㄏㄚ,ha,ha,ha
ㄏㄜ,he,he,ho
ㄏㄞ,hai,hai,hai
ㄏㄟ,hei,hei,hei
ㄏㄠ,hao,hao,hao
ㄏㄡ,hou,hou,hou
ㄏㄢ,han,han,han
ㄏㄣ,hen,hen,hên
ㄏㄤ,hang,hang,hang
ㄏㄥ,heng,heng,hêng
ㄏㄨ,hu,hu,hu
ㄏㄨㄚ,hua,hua,hua
ㄏㄨㄛ,huo,huo,huo
ㄏㄨㄞ,huai,huai,huai
ㄏㄨㄟ,hui,hui,hui
ㄏㄨㄢ,huan,huan,huan
ㄏㄨㄣ,hun,hun,hun
ㄏㄨㄤ,huang,huang,huang
ㄏㄨㄥ,hong,hong,hung
ㄐㄧ,jy,ji,chi
ㄐㄧㄚ,jia,jia,chia
ㄐㄧㄝ,jie,jie,chieh
ㄐㄧㄠ,jiao,jiao,chiao
ㄐㄧㄡ,jiou,jiu,chiu
ㄐㄧㄢ,jian,jian,chien
ㄐㄧㄣ,jin,jin,chin
ㄐㄧㄤ,jiang,jiang,chiang
ㄐㄧㄥ,jing,jing,ching
ㄐㄩ,jyu,ju,chü
ㄐㄩㄝ,jyue,jue,chüeh
ㄐㄩㄢ,jyuan,juan,chüan
ㄐㄩㄣ,jyun,jun,chün
ㄐㄩㄥ,jyung,jiong,chiung
ㄑㄧ,cy,qi,ch'i
ㄑㄧㄚ,cia,qia,ch'ia
ㄑㄧㄝ,cie,qie,ch'ieh
ㄑㄧㄠ,ciao,qiao,ch'iao
ㄑㄧㄡ,ciou,qiu,ch'iu
ㄑㄧㄢ,cian,qian,ch'ien
ㄑㄧㄣ,cin,qin,ch'in
ㄑㄧㄤ,ciang,qiang,ch'iang
ㄑㄧㄥ,cing,qing,ch'ing
ㄑㄩ,cyu,qu,ch'ü
ㄑㄩㄝ,cyue,que,ch'üeh
ㄑㄩㄢ,cyuan,quan,ch'üan
ㄑㄩㄣ,cyun,qun,ch'ün
ㄑㄩㄥ,cyung,qiong,ch'iung
ㄒㄧ,sy,xi,hsi
ㄒㄧㄚ,sia,xia,hsia
ㄒㄧㄝ,sie,xie,hsieh
ㄒㄧㄠ,siao,xiao,hsiao
ㄒㄧㄡ,siou,xiu,hsiu
ㄒㄧㄢ,sian,xian,hsien
ㄒㄧㄣ,sin,xin,hsin
ㄒㄧㄤ,siang,xiang,hsiang
ㄒㄧㄥ,sing,xing,hsing
ㄒㄩ,syu,xu,hsü
ㄒㄩㄝ,syue,xue,hsüeh
ㄒㄩㄢ,syuan,xuan,hsüan
ㄒㄩㄣ,syun,xun,hsün
ㄒㄩㄥ,syung,xiong,hsiung
ㄓ,zhi,zhi,chih
ㄓㄚ,zha,zha,cha
ㄓㄜ,zher,zhe,chê
ㄓㄞ,zhai,zhai,chai
ㄓㄟ,zhei,zhei,chei
ㄓㄠ,zhao,zhao,chao
ㄓㄡ,zhou,zhou,chou
ㄓㄢ,zhan,zhan,chan
ㄓㄣ,zhen,zhen,chên
ㄓㄤ,zhang,zhang,chang
ㄓㄥ,zheng,zheng,chêng
ㄓㄨ,zhu,zhu,chu
ㄓㄨㄚ,zhua,zhua,chua
ㄓㄨㄛ,zhuo,zhuo,cho
ㄓㄨㄞ,zhuai,zhuai,chuai
ㄓㄨㄟ,zhui,zhui,chui
ㄓㄨㄢ,zhuan,zhuan,chuan
ㄓㄨㄣ,zhun,zhun,chun
ㄓㄨㄤ,zhuang,zhuang,chuang
ㄓㄨㄥ,zhong,zhong,chung
ㄔ,chi,chi,ch'ih
ㄔㄚ,cha,cha,ch'a
ㄔㄜ,cher,che,ch'ê
ㄔㄞ,chai,chai,ch'ai
ㄔㄠ,chao,chao,ch'ao
ㄔㄡ,chou,chou,ch'ou
ㄔㄢ,chan,chan,ch'an
ㄔㄣ,chen,chen,ch'ên
ㄔㄤ,chang,chang,ch'ang
ㄔㄥ,cheng,cheng,ch'êng
ㄔㄨ,chu,chu,ch'u
ㄔㄨㄚ,chua,chua,ch'ua
ㄔㄨㄛ,chuo,chuo,ch'o
ㄔㄨㄞ,chuai,chuai,ch'uai
ㄔㄨㄟ,chui,chui,ch'ui
ㄔㄨㄢ,chuan,chuan,ch'uan
ㄔㄨㄣ,chun,chun,ch'un
ㄔㄨㄤ,chuang,chuang,ch'uang
ㄔㄨㄥ,chong,chong,ch'ung
ㄕ,shi,shi,shih
ㄕㄚ,sha,sha,sha
ㄕㄜ,she,she,shê
ㄕㄞ,shai,shai,shai
ㄕㄟ,shei,shei,shei
ㄕㄠ,shao,shao,shao
ㄕㄡ,shou,shou,shou
ㄕㄢ,shan,shan,shan
ㄕㄣ,shen,shen,shên
ㄕㄤ,shang,shang,shang
ㄕㄥ,sheng,sheng,shêng
ㄕㄨ,shu,shu,shu
ㄕㄨㄚ,shua,shua,shua
ㄕㄨㄛ,shuo,shuo,shuo
ㄕㄨㄞ,shuai,shuai,shuai
ㄕㄨㄟ,shui,shui,shui
ㄕㄨㄢ,shuan,shuan,shuan
ㄕㄨㄣ,shun,shun,shun
ㄕㄨㄤ,shuang,shuang,shuang
ㄖ,ri,ri,jih
ㄖㄜ,re,re,jê
ㄖㄠ,rao,rao,jao
ㄖㄡ,rou,rou,jou
ㄖㄢ,ran,ran,jan
ㄖㄣ,ren,ren,jên
ㄖㄤ,rang,rang,jang
ㄖㄥ,reng,reng,jêng
ㄖㄨ,ru,ru,ju
ㄖㄨㄛ,ruo,ruo,jo
ㄖㄨㄟ,rui,rui,jui
ㄖㄨㄢ,ruan,ruan,juan
ㄖㄨㄣ,run,run,jun
ㄖㄨㄥ,rong,rong,jung
ㄗ,zi,zi,tzu
ㄗㄚ,za,za,tsa
ㄗㄜ,ze,ze,tsê
ㄗㄞ,zai,zai,tsai
ㄗㄟ,zei,zei,tsei
ㄗㄠ,zao,zao,tsao
ㄗㄡ,zou,zou,tsou
ㄗㄢ,zan,zan,tsan
ㄗㄣ,zen,zen,tsên
ㄗㄤ,zang,zang,tsang
ㄗㄥ,zeng,zeng,tsêng
ㄗㄨ,zu,zu,tsu
ㄗㄨㄛ,zuo,zuo,tso
ㄗㄨㄟ,zui,zui,tsui
ㄗㄨㄢ,zuan,zuan,tsuan
ㄗㄨㄣ,zun,zun,tsun
ㄗㄨㄥ,zong,zong,tsung
ㄘ,tsi,ci,tz'u
ㄘㄚ,tsa,ca,ts'a
ㄘㄜ,tser,ce,ts'ê
ㄘㄞ,tsai,cai,ts'ai
ㄘㄠ,tsao,cao,ts'ao
ㄘㄡ,tsou,cou,ts'ou
ㄘㄢ,tsan,can,ts'an
ㄘㄣ,tsen,cen,ts'ên
ㄘㄤ,tsang,cang,ts'ang
ㄘㄥ,tseng,ceng,ts'êng
ㄘㄨ,tsu,cu,ts'u
ㄘㄨㄛ,tsuo,cuo,ts'o
ㄘㄨㄟ,tsui,cui,ts'ui
ㄘㄨㄢ,tsuan,cuan,ts'uan
ㄘㄨㄣ,tsun,cun,ts'un
ㄘㄨㄥ,tsong,cong,ts'ung
ㄙ,si,si,ssu
ㄙㄚ,sa,sa,sa
ㄙㄜ,se,se,sê
ㄙㄞ,sai,sai,sai
ㄙㄠ,sao,sao,sao
ㄙㄡ,sou,sou,sou
ㄙㄢ,san,san,san
ㄙㄣ,sen,sen,sên
ㄙㄤ,sang,sang,sang
ㄙㄥ,seng,seng,sêng
ㄙㄨ,su,su,su
ㄙㄨㄛ,suo,suo,so
ㄙㄨㄟ,suei,sui,sui
ㄙㄨㄢ,suan,suan,suan
ㄙㄨㄣ,sun,sun,sun
ㄙㄨㄥ,song,song,sung
ㄚ,a,a,a
ㄛ,o,o,o
ㄜ,e,e,ê
ㄞ,ai,ai,ai
ㄟ,ei,ei,ei
ㄠ,ao,ao,ao
ㄡ,ou,ou,ou
ㄢ,an,an,an
ㄣ,en,en,ên
ㄤ,ang,ang,ang
ㄥ,eng,eng,êng
ㄦ,er,er,êrh
ㄧ,yi,yi,i
ㄧㄚ,ya,ya,ya
ㄧㄝ,ye,ye,yeh
ㄧㄠ,yao,yao,yao
ㄧㄡ,you,you,yu
ㄧㄢ,yan,yan,yen
ㄧㄣ,yin,yin,yin
ㄧㄤ,yang,yang,yang
ㄧㄥ,ying,ying,ying
ㄨ,wu,wu,wu
ㄨㄚ,wa,wa,wa
ㄨㄛ,wo,wo,wo
ㄨㄞ,wai,wai,wai
ㄨㄟ,wei,wei,wei
ㄨㄢ,wan,wan,wan
ㄨㄣ,wun,wen,wên
ㄨㄤ,wang,wang,wang
ㄨㄥ,weng,weng,wêng
ㄩ,yu,yu,yü
ㄩㄝ,yue,yue,yüeh
ㄩㄢ,yuan,yuan,yüan
ㄩㄣ,yun,yun,yün
ㄩㄥ,yung,yong,yung
